id,name,alias,collegeDataUrl,collegeDataId
2600,Saint Elizabeth University,College of St Elizabeth College of Saint Elizabeth,,
2832,St. Thomas Aquinas College,St Thomas Aquinas College Saint Thomas Aquinas College,St-Thomas-Aquinas-College,41.0
1380,Western Connecticut State University,,Western-Connecticut-State-University,211.0
7032,MidAmerica Nazarene University,Mid-America Nazarene University,MidAmerica-Nazarene-University,1110.0
2502,Southwest Baptist University,,Southwest-Baptist-University,1741.0
3315,Bloomsburg University of Pennsylvania,,Bloomsburg-University-of-Pennsylvania,136.0
3245,Chestnut Hill College,,Chestnut-Hill-College,225.0
3270,Gwynedd Mercy University,Gwynedd Mercy College,Gwynedd-Mercy-University,796.0
3407,Rhode Island College,,Rhode-Island-College,54.0
3322,Kutztown University of Pennsylvania,,Kutztown-University-of-Pennsylvania,424.0
2591,Plymouth State University,,Plymouth-State-University,96.0
2188,Salem State University,,Salem-State-University,44.0
2143,Curry College,,Curry-College,1095.0
3252,Delaware Valley University,,Delaware-Valley-University,973.0
2622,Kean University,,Kean-University,1012.0
2744,Keuka College,,Keuka-College,1018.0
3396,Wilson College,,Wilson-College,230.0
1541,Abraham Baldwin Agricultural College,,Abraham-Baldwin-Agricultural-College,3672.0
7531,Academy of Art University,,Academy-of-Art-University,712.0
1345,Adams State University,,Adams-State-University,877.0
1002,Alabama A&M University,Alabama A&M Alabama A & M,,
1544,Albany State University,,Albany-State-University,470.0
3229,Albright College,,Albright-College,10.0
3417,Allen University,,Allen-University,1300.0
1158,Alliant International University,,Alliant-International-University,720.0
2114,American International College,,American-International-College,15.0
11941,American University of Puerto Rico--Manati,American University Puerto Rico American University Puerto Rico,American-University-of-Puerto-Rico-Manati,3760.0
2238,Andrews University,,Andrews-University,462.0
2117,Anna Maria College,,Anna-Maria-College,21.0
1087,Arkansas Baptist College,,,
1090,Arkansas State University,Arkansas State University Jonesboro Arkansas State University Jonesboro,Arkansas-State-University,477.0
1579,Augusta University,,,
1634,Aurora University,,Aurora-University,463.0
39413,Ave Maria University,,Ave-Maria-University,3088.0
2449,Avila University,,Avila-University,458.0
3147,Bacone College,,Bacone-College,1821.0
4673,Baker College,,,
1466,Barry University,,Barry-University,495
5022,Bayamon Central University,,Bayamon-Central-University,286.0
3965,Bay State College,,,
2123,Becker College,,,
9743,Bellevue University,,,
3420,Benedict College,,Benedict-College,500.0
1767,Benedictine University,,Benedictine-University,367.0
2911,Bennett College,,Bennett-College,501.0
1904,Bethany College (KS),,,
3808,Bethany College (WV),,,
2337,Bethany Lutheran College,,Bethany-Lutheran-College,613.0
3480,Bethel University (TN),,,
1467,Bethune-Cookman University,Bethune Cookman University,Bethune-Cookman-University,506.0
1639,Blackburn College,,Blackburn-College,305.0
3459,Black Hills State University,,Black-Hills-State-University,867.0
2597,Bloomfield College,,Bloomfield-College,135.0
3703,Bluefield College,,Bluefield-College,509.0
1616,Boise State University,,Boise-State-University,1082.0
13029,Boricua College,,Boricua-College,140.0
2062,Bowie State University,,Bowie-State-University,512.0
1557,Brewton-Parker College,Brewton Parker College,Brewton-Parker-College,1233.0
3704,Bridgewater College,,Bridgewater-College,1444.0
3228,Bryn Athyn College of the New Church,,,
3241,Cabrini University,,Cabrini-University,180.0
3351,Cairn University,,Cairn-University,76.0
3316,California University of Pennsylvania,,California-University-of-Pennsylvania,181.0
1834,Calumet College of St. Joseph,Calumet College of St Joseph Calumet College of Saint Joseph,Calumet-College-of-St-Joseph,312.0
21829,Cambridge College,,Cambridge-College,565.0
3150,Cameron University,,Cameron-University,824.0
